country,lifetime_physical_or_sexual_intimate_partner_violence,lastyear_physical_or_sexual_intimate_partner_violence,lifetime_non_partner_sexual_violence,child_marriage,female_genital_mutilation,reports
Denmark,0.32,0.04,0.11,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/denmark/denmark%20cedaw%20co.pdf?vs=5448'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/denmark/denmark%20upr%20wg%20report.pdf?vs=5512'}]"
Djibouti,,,,0.053,0.944,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/djibouti/djubouti%20cedaw%20co.pdf?vs=3915'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/djibouti/djibouti%20upr%20wg%20report.pdf?vs=3906'}]"
Dominica,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/dominica/dominica%20cedaw%20co.pdf?vs=1743'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/dominica/dominica%20upr%20wg%20report.pdf?vs=1445'}]"
Dominican Republic,0.285,0.16,,0.359,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/dominican%20republic/dominican%20republic%20cedaw%20co.pdf?vs=2112'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/dominican%20republic/dominican%20republic%20upr%20wg%20report.pdf?vs=2007'}]"
Ecuador,0.404,0.108,,0.222,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/ecuador/ecuador%20cedaw%20co.pdf?vs=2146'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/ecuador/ecuador%20upr%20wg%20report.pdf?vs=2201'}]"
Egypt,0.256,0.14,,0.174,0.872,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/egypt/egypt%20cedaw%20co.pdf?vs=4020'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/egypt/egypt%20upr%20wg%20report.pdf?vs=4033'}]"
El Salvador,0.143,0.059,,0.255,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/el%20salvador/el%20salvador%20srvaw.pdf?vs=2244'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/el%20salvador/el%20salvador%20cedaw%20co.pdf?vs=2229'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/el%20salvador/el%20salvador%20upr%20wg%20report.pdf?vs=2256'}]"
Equatorial Guinea,0.569,0.436,,0.295,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/equatorial%20guinea/equatorial%20guinea%20cedaw%20co.pdf?vs=4121'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/equatorial%20guinea/equatorial%20guinea%20upr%20wg%20report.pdf?vs=4136'}]"
Eritrea,,,,0.407,0.83,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/eritrea/eritrea%20cedaw%20co.pdf?vs=4240'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/eritrea/eritrea%20upr%20wg%20report.pdf?vs=4257'}]"
Estonia,0.2,0.02,0.09,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/estonia/estonia%20cedaw%20co.pdf?vs=5548'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/estonia/estonia%20upr%20wg%20report.pdf?vs=5606'}]"
Eswatini (Kingdom of),,,,0.053,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/swaziland/swaziland%20cedaw%20co.pdf?vs=1230'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/swaziland/swaziland%20upr%20wg%20report.pdf?vs=1309'}]"
Ethiopia,0.28,0.198,,0.403,0.652,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/ethiopia/ethiopia%20cedaw%20co.pdf?vs=4342'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/ethiopia/ethiopia%20upr%20wg%20report.pdf?vs=4359'}]"
Fiji,0.64,0.24,0.09,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/fiji/fiji%20cedaw%20co.pdf?vs=5657'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/fiji/fiji%20upr%20wg%20report.pdf?vs=5650'}]"
Finland,0.3,0.05,0.11,0.0,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/finland/finland%20cedaw%20co.pdf?vs=5711'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/finland/finland%20upr%20wg%20report.pdf?vs=5729'}]"
France,0.26,0.05,0.09,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/france/france%20cedaw%20co.pdf?vs=5834'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/france/france%20upr%20wg%20report.pdf?vs=5905'}]"
Gabon,0.486,0.315,0.05,0.219,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/gabon/gabon%20cedaw%20co.pdf?vs=4518'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/gabon/gabon%20upr%20wg%20report.pdf?vs=4551'}]"
Gambia,0.335,0.104,,0.257,0.757,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/gambia/gambia%20cedaw%20co.pdf?vs=4723'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/gambia/gambia%20upr%20wg%20report.pdf?vs=4750'}]"
Georgia,0.06,0.01,0.027,0.139,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/georgia/sr%20georgia.pdf?vs=1004'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/georgia/georgia%20cedaw%20co.pdf?vs=4207'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/georgia/georgia%20upr%20wg%20report.pdf?vs=4224'}]"
Germany,0.22,0.03,0.07,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/germany/germany%20cedaw%20co.pdf?vs=6'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/germany/germany%20upr%20wg%20report.pdf?vs=57'}]"
Ghana,0.244,0.192,0.04,0.193,0.024,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/ghana/ghana%20srvaw.pdf?vs=5238'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/ghana/ghana%20cedaw%20co.pdf?vs=5210'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/ghana/ghana%20upr%20wg%20report.pdf?vs=5239'}]"
Greece,0.19,0.06,0.01,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/greece/greece%20cedaw%20co.pdf?vs=139'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/greece/greece%20upr%20wg%20report.pdf?vs=203'}]"
Grenada,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/grenada/grenada%20cedaw%20co.pdf?vs=2356'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/grenada/grenada%20upr%20wg%20report.pdf?vs=4959'}]"
Guatemala,0.212,0.085,,0.295,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/guatemala/guatemala%20srvaw.pdf?vs=2509'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/guatemala/guatemala%20cedaw%20co.pdf?vs=2452'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/guatemala/guatemala%20upr%20wg%20report.pdf?vs=2527'}]"
Guinea,,,,0.465,0.945,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/guinea/guinea%20cedaw%20co.pdf?vs=5340'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/guinea/guinea%20upr%20wg%20report.pdf?vs=5354'}]"
Guinea-Bissau,,,,0.257,0.521,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/guinea-bissau/guinea%20bissau%20cedaw%20co.pdf?vs=5439'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/guinea-bissau/guinea-bissau%20upr%20wg%20report.pdf?vs=5452'}]"
Guyana,,,,0.302,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/guyana/guyana%20cedaw%20co.pdf?vs=2622'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/guyana/guyana%20upr%20wg%20report.pdf?vs=2636'}]"
Haiti,0.26,0.139,,0.149,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/haiti/haiti%20srvaw.pdf?vs=2834'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/haiti/haiti%20cedaw%20co.pdf?vs=2811'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/haiti/haiti%20upr%20wg%20report.pdf?vs=2902'}]"
Honduras,0.278,0.068,,0.336,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/honduras/honduras%20srvaw.pdf?vs=3000'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/honduras/honduras%20cedaw%20co.pdf?vs=2946'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/honduras/honduras%20upr%20wg%20report.pdf?vs=3013'}]"
Hungary,0.21,0.06,0.03,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/hungary/hungary%20cedaw%20co.pdf?vs=235'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/hungary/hungary%20upr%20wg%20report.pdf?vs=315'}]"
Iceland,0.224,0.018,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/iceland/iceland%20cedaw%20co.pdf?vs=429'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/iceland/iceland%20upr%20wg%20report.pdf?vs=506'}]"
India,0.293,0.24,,0.273,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/india/india%20srvaw.pdf?vs=4342'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/india/india%20cedaw%20co.pdf?vs=4328'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/india/india%20upr%20wg%20report.pdf?vs=1437'}]"
Indonesia,0.113,0.037,0.154,0.163,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/indonesia/indonesia%20srvaw.pdf?vs=4505'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/indonesia/indonesia%20cedaw%20co.pdf?vs=4433'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/indonesia/indonesia%20upr%20wg%20report.pdf?vs=1542'}]"
Iran (Islamic Republic of),,,,0.167,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/iran%20islamic%20republic%20of/iran%20the%20islamic%20republic%20of%20srvaw.pdf?vs=4541'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/iran%20islamic%20republic%20of/iran%20upr%20wg%20report.pdf?vs=4611'}]"
Iraq,,,,0.279,0.074,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/iraq/iraq%20cedaw%20co.pdf?vs=4641'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/iraq/iraq%20upr%20wg%20report.pdf?vs=4657'}]"
Ireland,0.15,0.03,0.05,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/ireland/ireland%20cedaw%20co.pdf?vs=601'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/ireland/ireland%20upr%20wg%20report.pdf?vs=622'}]"
Israel,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/israel/israel%20cedaw%20co.pdf?vs=4730'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/israel/israel%20upr%20wg%20report.pdf?vs=4744'}]"
Italy,0.19,0.06,0.05,,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/italy/italy%20srvaw.pdf?vs=903'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/italy/italy%20cedaw%20co.pdf?vs=732'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/italy/italy%20upr%20wg%20report.pdf?vs=830'}]"
Jamaica,0.278,0.07,0.23,0.079,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/jamaica/jamaica%20cedaw%20co.pdf?vs=3140'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/jamaica/jamaica%20upr%20wg%20report.pdf?vs=3156'}]"
Japan,,,,,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/japan/japan%20srvaw.pdf?vs=4821'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/japan/japan%20cedaw%20co.pdf?vs=4813'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/japan/japan%20upr%20wg%20report.pdf?vs=4842'}]"
Jordan,0.189,0.138,,0.097,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/jordan/jordan%20srvaw.pdf?vs=4921'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/jordan/jordan%20cedaw%20co.pdf?vs=4909'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/jordan/jordan%20upr%20wg%20report.pdf?vs=4947'}]"
Kazakhstan,0.165,0.047,0.015,0.07,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/kazakhstan/kazakhstan%20cedaw%20co.pdf?vs=1715'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/kazakhstan/kazakhstan%20upr%20wg%20report.pdf?vs=1735'}]"
Kenya,0.407,0.255,,0.229,0.21,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/kenya/kenya%20cedaw%20co.pdf?vs=5637'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/kenya/kenya%20upr%20wg%20report.pdf?vs=5650'}]"
Kiribati,0.61,0.434,0.103,0.184,,"[{'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/kiribati/kiribati%20upr%20wg%20report.pdf?vs=3542'}]"
Kuwait,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/kuwait/kuwait%20cedaw%20co.pdf?vs=239'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/kuwait/kuwait%20upr%20wg%20report.pdf?vs=321'}]"
Kyrgyzstan,0.266,0.171,0.001,0.129,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/kyrgyzstan/kyrgyzstan%20srvaw.pdf?vs=456'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/kyrgyzstan/kyrgyzstan%20cedaw%20co.pdf?vs=427'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/kyrgyzstan/kyrgyzstan%20upr%20wg%20report.pdf?vs=533'}]"
Lao People’s Democratic Republic,0.153,0.06,0.053,0.327,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/lao%20peoples%20democratic%20republic/laos%20cedaw%20co.pdf?vs=648'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/lao%20peoples%20democratic%20republic/lao%20upr%20wg%20report.pdf?vs=612'}]"
Latvia,0.32,0.05,0.07,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/latvia/latvia%20cedaw%20co.pdf?vs=943'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/latvia/latvia%20upr%20wg%20report.pdf?vs=1008'}]"
Lebanon,,,,0.06,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/lebanon/lebanon%20cedaw%20co.pdf?vs=731'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/lebanon/lebanon%20upr%20wg%20report.pdf?vs=753'}]"
Lesotho,,,,0.164,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/lesotho/lesotho%20cedaw%20co.pdf?vs=5725'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/lesotho/lesotho%20upr%20wg%20report.pdf?vs=5738'}]"
